feature,importance
wins_diff,0.14186544659759998
splm_diff,0.12362227470335413
td_def_diff,0.10234713655858185
sapm_diff,0.09795810388884041
str_acc_diff,0.08436889369715152
losses_diff,0.08020339624032854
str_def_diff,0.07457540350770062
td_avg_diff,0.06960428255517782
td_acc_diff,0.05830693804678964
sub_avg_diff,0.04789384166069557
reach_diff,0.033952099702049224
height_diff,0.026728690124768386
weight_diff,0.02504721105136988
division_lightweight,0.004805022852895156
division_welterweight,0.004759971134533261
division_middleweight,0.004457386580698341
division_featherweight,0.00366792228729195
division_heavyweight,0.003417265665585933
division_light heavyweight,0.003320511577901312
division_women's strawweight,0.0029240423978219065
division_flyweight,0.0021382004320489156
title_fight,0.001956527251531205
division_women's flyweight,0.0012284884225899507
division_women's bantamweight,0.000822653476395669
division_women's featherweight,2.8289586298946217e-05
